CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
600,France,Female,40 - 49,3,47134,1,yes,yes,57236,no
700,Spain,Male,30 - 39,3,0,2,no,no,81483,no
500,Spain,Male,40 - 49,9,0,2,yes,no,26752,no
700,France,Male,40 - 49,5,0,2,no,yes,9200,no
600,Spain,Male,60 - 69,1,0,1,yes,no,22447,yes
500,France,Male,50 - 59,5,0,3,yes,no,189122,yes
500,Germany,Female,18 - 29,1,138657,1,yes,yes,16161,no
700,France,Female,30 - 39,9,70302,1,yes,yes,68600,no
700,Germany,Female,30 - 39,1,101609,2,yes,yes,447,no
700,Spain,Male,30 - 39,3,0,1,yes,yes,15650,no
600,Germany,Male,30 - 39,5,130170,1,yes,yes,149599,no
500,Germany,Male,60 - 69,8,133802,2,yes,yes,90304,no
700,France,Female,18 - 29,7,106234,1,no,no,115676,no
600,Spain,Male,30 - 39,6,132628,1,no,no,38812,no
500,Germany,Male,40 - 49,9,103522,2,yes,yes,34338,no
700,Germany,Female,40 - 49,8,192390,2,yes,no,823,no
500,Spain,Male,30 - 39,1,0,1,no,yes,135482,yes
500,Spain,Male,30 - 39,9,0,3,yes,yes,10656,no
600,France,Female,30 - 39,3,0,2,no,yes,116467,no
700,France,Male,50 - 59,8,109922,1,yes,yes,96823,yes
800,Germany,Female,40 - 49,5,128605,1,no,yes,171096,no
500,France,Female,30 - 39,4,0,1,yes,yes,79881,no
700,France,Female,30 - 39,10,68598,1,yes,no,157862,no
700,Spain,Male,30 - 39,1,106518,1,yes,yes,127951,no
600,France,Female,30 - 39,8,0,2,no,no,191074,no
300,France,Female,40 - 49,6,0,1,yes,no,157333,yes
600,Germany,Female,18 - 29,8,121326,1,yes,no,133457,no
700,France,Male,30 - 39,8,67226,1,yes,no,130789,no
600,Spain,Female,18 - 29,5,82931,2,yes,yes,128373,no
500,Spain,Female,30 - 39,4,0,1,yes,no,194273,yes
700,France,Female,30 - 39,5,118590,1,yes,yes,5684,yes
600,France,Male,60 - 69,4,145981,1,yes,yes,131043,no
600,France,Female,40 - 49,3,73309,1,no,no,21228,yes
600,France,Female,40 - 49,8,130796,2,yes,yes,43250,no
700,Germany,Male,30 - 39,8,151607,1,yes,no,4389,no
500,Germany,Female,60 - 69,9,111577,1,no,yes,189271,no
600,Spain,Male,30 - 39,0,107042,1,yes,yes,102284,no
600,Spain,Female,40 - 49,2,156371,2,no,yes,156774,yes
700,France,Female,40 - 49,4,129605,1,no,no,69865,no
800,Spain,Female,40 - 49,0,0,2,no,yes,85523,no
700,Spain,Female,60 - 69,8,0,2,yes,yes,51219,no
500,Spain,Male,18 - 29,8,132576,1,no,no,7222,no
600,France,Female,30 - 39,6,129101,1,yes,yes,23971,no
800,Germany,Female,30 - 39,1,108822,1,yes,yes,132173,no
600,Spain,Male,30 - 39,4,137948,1,yes,no,113639,no
600,Spain,Male,30 - 39,7,100433,1,yes,yes,39768,no
500,Spain,Male,60 - 69,4,96134,3,yes,no,108732,yes
600,Germany,Female,40 - 49,4,115888,1,yes,yes,117349,yes
600,France,Female,40 - 49,5,124626,1,yes,yes,78004,no
500,France,Female,30 - 39,6,139810,1,yes,yes,152417,no
600,Spain,Female,30 - 39,9,0,2,no,no,26057,no
500,France,Male,30 - 39,3,84496,1,no,no,79972,no
600,Germany,Male,70 - 79,9,116854,2,no,yes,107125,no
600,France,Female,40 - 49,10,138333,1,yes,yes,47679,no
700,France,Male,18 - 29,3,0,2,yes,yes,134509,no
600,Germany,Male,40 - 49,5,78992,2,no,no,153265,no
700,Spain,Female,30 - 39,7,97257,2,no,yes,179883,no
700,France,Male,30 - 39,5,122453,2,yes,no,138882,no
700,Spain,Female,30 - 39,8,112940,1,no,yes,9855,no
500,France,Female,40 - 49,8,132558,1,yes,no,67046,yes
500,France,Female,30 - 39,4,0,2,yes,no,56388,no
600,France,Female,40 - 49,8,133297,1,yes,no,77764,no
500,France,Female,40 - 49,7,0,2,yes,no,130590,no
500,France,Male,18 - 29,0,197041,1,no,no,151912,no
700,Germany,Female,40 - 49,0,71497,2,no,no,151083,no
600,France,Male,30 - 39,7,0,2,yes,yes,777,no
600,Germany,Female,30 - 39,6,128100,1,no,no,69454,yes
700,France,Male,18 - 29,1,124532,2,no,yes,11723,no
500,Germany,Male,30 - 39,9,82293,2,yes,yes,91565,no
500,France,Male,30 - 39,1,142120,1,yes,no,79616,no
500,Spain,Male,30 - 39,0,151839,1,yes,no,102299,yes
600,Spain,Male,30 - 39,7,149620,2,yes,yes,104533,no
700,France,Female,40 - 49,3,168197,1,yes,no,140765,yes
600,France,Male,30 - 39,5,93147,2,yes,no,66214,no
600,France,Female,30 - 39,2,97440,2,yes,yes,139816,no
700,Germany,Female,40 - 49,3,65046,2,no,yes,140139,no
600,Spain,Female,18 - 29,7,95357,1,no,no,102297,no
800,Spain,Male,40 - 49,9,123105,2,yes,no,145765,no
600,Spain,Male,18 - 29,9,0,3,no,yes,83912,no
800,Spain,Male,40 - 49,3,0,2,no,yes,78439,no
500,Spain,Male,60 - 69,7,121286,1,no,yes,6776,no
800,Germany,Female,18 - 29,4,167738,2,yes,yes,9903,no
700,France,Female,30 - 39,1,104091,1,no,no,91561,no
600,Germany,Female,40 - 49,8,121980,2,yes,no,4027,no
700,France,Female,40 - 49,10,0,2,yes,yes,116111,no
700,Germany,Male,30 - 39,1,50880,2,yes,yes,184023,no
600,France,Female,40 - 49,3,175159,2,no,no,67124,yes
600,Germany,Female,18 - 29,7,105514,2,yes,no,50070,no
500,Germany,Male,50 - 59,5,116497,3,no,no,53793,yes
500,Spain,Female,30 - 39,6,0,2,yes,no,45261,no
500,France,Male,40 - 49,7,99824,1,yes,yes,36721,no
400,France,Male,40 - 49,6,0,1,yes,no,130009,yes
600,Spain,Male,70 - 79,0,0,1,yes,yes,175380,no
700,France,Male,40 - 49,10,0,1,yes,no,127847,yes
700,Spain,Male,30 - 39,3,122964,1,yes,yes,138231,no
500,France,Female,18 - 29,4,0,2,no,yes,48673,no
600,Spain,Male,18 - 29,4,0,2,yes,yes,70668,no
400,Spain,Female,40 - 49,3,0,2,no,yes,199505,no
600,France,Female,30 - 39,5,89634,1,yes,yes,169583,yes
500,Germany,Male,40 - 49,7,95710,2,yes,no,49063,no
700,Germany,Male,40 - 49,7,139706,1,yes,no,63337,no
800,Germany,Female,40 - 49,5,103909,1,yes,no,60083,yes
600,France,Male,30 - 39,1,0,1,yes,no,48606,no
600,France,Male,40 - 49,6,173434,1,yes,no,165580,yes
400,Spain,Male,30 - 39,6,102238,2,yes,yes,194010,no
500,France,Female,40 - 49,1,179380,2,no,yes,69263,no
600,France,Male,30 - 39,3,0,2,yes,yes,88698,no
700,France,Female,18 - 29,4,108691,1,yes,no,63030,no
500,France,Female,30 - 39,4,0,2,yes,no,59668,no
600,France,Male,30 - 39,6,0,2,no,no,184230,no
700,Germany,Male,30 - 39,0,133377,1,no,yes,64050,no
800,Spain,Male,30 - 39,9,0,2,yes,yes,81853,no
600,Spain,Male,50 - 59,10,0,1,yes,yes,154642,no
700,France,Male,30 - 39,1,116537,1,no,no,145679,no
600,France,Female,18 - 29,3,0,2,no,no,30781,no
800,Spain,Male,40 - 49,4,0,2,no,yes,81622,no
600,France,Male,18 - 29,1,130131,2,no,yes,196474,no
600,France,Male,40 - 49,3,0,2,no,yes,176276,no
600,Spain,Male,30 - 39,0,0,1,yes,no,35113,no
500,France,Male,30 - 39,2,107316,1,yes,no,64299,no
600,France,Female,18 - 29,1,0,2,yes,yes,180969,no
500,France,Male,30 - 39,1,83181,1,yes,yes,138176,no
700,France,Female,70 - 79,3,0,1,yes,yes,86733,no
500,Spain,Male,60 - 69,3,153946,1,yes,yes,7418,no
700,France,Male,30 - 39,5,0,2,yes,no,166376,no
600,Spain,Female,30 - 39,7,135483,1,yes,no,140881,yes
500,France,Male,30 - 39,1,0,2,yes,no,4460,no
600,France,Female,30 - 39,4,119624,2,yes,yes,110472,no
500,Spain,Male,30 - 39,6,121132,2,yes,no,86460,no
800,Spain,Female,40 - 49,1,0,1,yes,no,16500,yes
700,France,Female,40 - 49,4,0,1,yes,no,114020,yes
800,Germany,Male,18 - 29,5,54817,1,yes,no,131660,no
600,Germany,Male,40 - 49,3,107949,1,yes,no,52449,yes
600,France,Male,30 - 39,4,0,1,no,yes,161465,no
600,Spain,Female,40 - 49,2,80816,1,yes,yes,20018,no
600,Germany,Male,30 - 39,3,98205,1,yes,no,176318,no
600,Spain,Female,50 - 59,6,94684,1,yes,yes,50488,no
600,Spain,Female,18 - 29,7,141604,1,yes,no,30379,no
500,Spain,Female,70 - 79,3,0,2,yes,yes,161326,no
600,Spain,Male,30 - 39,3,0,2,yes,no,45348,no
500,France,Female,40 - 49,1,122949,1,no,no,180251,yes
600,Germany,Male,30 - 39,8,81677,2,no,no,34925,no
800,France,Male,30 - 39,7,80293,1,no,no,126555,no
400,Spain,Female,40 - 49,8,155413,1,yes,no,187921,no
700,Spain,Female,30 - 39,4,0,2,yes,yes,136390,no
600,Germany,Male,30 - 39,9,67111,1,yes,no,78566,yes
800,France,Male,30 - 39,5,103818,1,yes,yes,166038,no
700,France,Female,18 - 29,4,0,2,yes,yes,140385,no
500,France,Male,30 - 39,4,152169,2,no,no,38629,yes
700,France,Female,50 - 59,10,0,1,yes,yes,24998,yes
600,Germany,Male,18 - 29,4,214346,2,yes,no,128815,no
500,France,Male,50 - 59,6,0,1,yes,no,19376,yes
800,France,Male,40 - 49,7,113348,1,yes,no,31904,yes
600,Germany,Female,40 - 49,5,170935,1,yes,no,173179,yes
600,Germany,Male,50 - 59,8,103023,1,yes,yes,22485,no
600,Spain,Female,18 - 29,6,0,2,no,yes,196668,no
500,Spain,Male,30 - 39,6,0,2,no,no,136506,no
500,France,Female,30 - 39,7,111855,2,yes,yes,36278,no
700,Germany,Female,30 - 39,6,140348,2,yes,yes,163254,no
700,Spain,Male,30 - 39,8,0,2,yes,no,99654,no
600,France,Male,18 - 29,3,145512,1,yes,no,20207,no
600,Germany,Female,40 - 49,8,146720,2,yes,yes,4195,no
600,France,Male,30 - 39,10,107209,1,yes,yes,112340,no
700,Germany,Female,30 - 39,7,130933,1,no,yes,2035,no
400,Spain,Female,30 - 39,8,0,1,yes,no,132295,no
600,Spain,Male,30 - 39,0,89772,1,yes,no,177383,yes
600,France,Female,30 - 39,5,0,2,yes,no,90284,no
700,France,Male,18 - 29,8,0,2,yes,no,61349,no
800,France,Male,40 - 49,5,0,1,yes,no,196466,yes
700,France,Male,30 - 39,2,100749,3,no,no,70758,yes
400,France,Female,30 - 39,10,0,2,yes,no,13892,no
800,Spain,Male,18 - 29,2,0,2,yes,yes,9684,no
600,France,Female,50 - 59,3,123981,2,yes,yes,40546,no
500,Germany,Female,30 - 39,4,91622,1,yes,yes,136603,no
700,France,Male,30 - 39,7,126195,1,yes,yes,133172,no
700,France,Male,40 - 49,4,94267,1,no,yes,152821,yes
600,France,Male,40 - 49,4,0,2,yes,yes,147715,no
800,France,Male,30 - 39,0,0,2,yes,no,43169,no
600,France,Male,18 - 29,4,0,1,yes,no,76755,yes
700,Germany,Female,30 - 39,3,100717,3,yes,yes,73406,yes
500,France,Male,30 - 39,6,0,2,yes,no,176728,no
700,France,Female,18 - 29,4,141581,2,no,no,98309,no
400,Spain,Male,30 - 39,7,0,2,yes,yes,6203,no
800,France,Female,30 - 39,2,148586,1,yes,yes,176791,no
700,Spain,Male,18 - 29,9,0,2,yes,no,50679,no
400,Spain,Male,30 - 39,7,0,2,yes,no,150580,no
500,Germany,Female,30 - 39,2,123403,2,yes,no,80120,no
500,France,Male,18 - 29,7,0,2,yes,no,151645,no
500,France,Female,40 - 49,3,106511,1,yes,no,55072,no
600,France,Female,30 - 39,2,0,2,no,no,115068,no
400,Germany,Female,30 - 39,1,135549,1,no,no,149471,yes
600,Germany,Male,30 - 39,7,110555,2,yes,no,46522,no
500,France,Male,30 - 39,4,0,2,yes,no,189995,no
700,France,Female,50 - 59,0,185891,1,yes,yes,46369,yes
800,Germany,Male,50 - 59,1,130854,1,yes,yes,30722,yes
600,France,Female,40 - 49,3,92578,2,no,no,70810,no
700,Germany,Female,18 - 29,8,132312,1,yes,no,106663,yes
600,France,Female,60 - 69,8,144976,1,no,no,175836,yes
400,Spain,Male,40 - 49,5,87070,1,no,yes,85646,no
500,France,Male,40 - 49,8,0,2,yes,yes,101485,no
700,France,Female,40 - 49,1,115414,3,no,no,191734,yes
600,Spain,Male,60 - 69,7,91070,1,yes,yes,101839,no
700,Spain,Male,18 - 29,2,117412,2,yes,no,4888,no
800,Germany,Male,30 - 39,4,90018,2,yes,no,193132,no
800,France,Female,18 - 29,4,0,2,yes,no,193518,no
600,Germany,Male,50 - 59,1,112414,2,no,no,93982,yes
700,Germany,Male,30 - 39,1,158456,1,yes,yes,197000,yes
600,Spain,Male,30 - 39,7,0,1,yes,no,106837,yes
600,Germany,Female,50 - 59,1,149641,1,yes,yes,115161,no
600,Spain,Female,30 - 39,8,122528,1,yes,no,196260,no
500,Germany,Female,40 - 49,3,143734,2,yes,yes,96404,no
600,France,Female,30 - 39,2,155663,1,yes,no,97658,no
600,France,Female,30 - 39,7,0,1,yes,yes,49108,yes
500,Germany,Female,30 - 39,1,101736,1,no,yes,195651,no
500,Spain,Male,30 - 39,9,125822,1,yes,no,111698,no
600,France,Male,30 - 39,0,0,2,yes,yes,171707,no
500,France,Male,30 - 39,4,0,2,yes,yes,66721,no
700,France,Female,18 - 29,2,0,1,yes,yes,57876,no
700,Germany,Male,30 - 39,6,157791,2,no,no,177994,no
700,France,Male,18 - 29,5,0,2,no,yes,105125,no
500,France,Female,40 - 49,4,0,2,yes,no,17439,no
400,Germany,Male,40 - 49,9,181627,2,yes,no,172668,no
700,Spain,Female,50 - 59,1,109679,1,no,yes,753,no
600,France,Female,30 - 39,5,96652,1,yes,no,98686,yes
600,France,Male,40 - 49,5,190008,2,yes,yes,107047,no
700,Spain,Male,40 - 49,9,0,2,yes,no,152153,no
600,France,Male,40 - 49,9,0,2,yes,yes,34338,no
700,Germany,Male,40 - 49,4,148962,1,no,yes,173878,yes
500,France,Male,18 - 29,8,0,1,yes,no,159254,no
600,Germany,Female,30 - 39,3,131344,2,yes,no,54776,no
500,Germany,Female,18 - 29,5,101713,3,yes,no,134594,no
600,Spain,Male,30 - 39,3,0,1,yes,yes,41724,no
600,France,Male,30 - 39,4,0,2,no,no,110527,no
700,France,Female,18 - 29,6,137963,1,no,no,8996,no
800,Spain,Female,18 - 29,4,129938,1,no,yes,190200,no
600,Germany,Male,40 - 49,2,151421,1,no,yes,115333,no
700,Germany,Female,40 - 49,7,135643,1,no,no,143619,yes
500,Spain,Male,30 - 39,2,122773,2,yes,yes,58467,no
700,France,Male,30 - 39,3,152303,1,yes,no,12128,no
600,France,Male,40 - 49,3,0,2,yes,yes,49872,no
700,Spain,Male,50 - 59,1,79415,1,no,yes,139735,no
400,Germany,Female,50 - 59,9,125801,2,yes,no,60891,yes
700,Spain,Male,30 - 39,10,0,2,yes,no,100862,no
500,France,Male,30 - 39,8,0,1,yes,no,76640,yes
700,France,Male,40 - 49,6,104817,1,yes,no,126013,yes
600,France,Female,30 - 39,9,0,1,yes,no,87347,no
700,Germany,Female,30 - 39,5,67495,2,no,yes,77370,no
800,France,Female,30 - 39,0,164850,1,yes,yes,62722,no
700,Germany,Female,40 - 49,5,154776,2,no,no,196257,no
600,Germany,Female,18 - 29,1,143124,2,yes,no,81723,no
500,France,Female,30 - 39,10,0,1,yes,yes,31299,no
600,France,Female,18 - 29,2,0,2,yes,no,63495,no
600,France,Female,30 - 39,8,102133,1,yes,yes,166520,no
600,Spain,Male,18 - 29,6,79932,1,no,no,150242,no
600,Germany,Male,40 - 49,0,120711,1,no,no,27345,yes
600,Germany,Female,40 - 49,3,122717,2,yes,yes,87000,no
400,Spain,Female,30 - 39,3,92363,2,yes,no,44912,no
700,Spain,Female,40 - 49,5,203715,1,yes,no,179978,yes
700,Spain,Male,30 - 39,5,0,2,yes,no,145759,no
700,France,Male,30 - 39,9,0,2,no,no,14121,no
600,France,Male,18 - 29,1,0,2,yes,no,66232,no
500,France,Male,40 - 49,4,0,1,yes,yes,190296,yes
800,Germany,Female,30 - 39,1,93460,2,no,no,172782,no
600,France,Male,30 - 39,6,0,2,yes,yes,99128,no
600,Germany,Female,18 - 29,7,40224,1,yes,yes,178341,no
600,France,Female,40 - 49,5,168069,1,yes,yes,146992,yes
600,France,Male,30 - 39,1,0,2,yes,yes,151314,no
500,Germany,Male,40 - 49,7,130538,1,yes,no,92915,no
700,France,Male,30 - 39,3,132623,1,yes,yes,58974,no
600,France,Female,30 - 39,3,103465,2,yes,yes,174627,no
700,France,Female,50 - 59,9,126547,1,yes,yes,79579,yes
500,France,Male,30 - 39,2,128262,2,yes,no,50771,no
700,France,Male,40 - 49,5,169742,1,yes,yes,153537,yes
700,France,Female,18 - 29,1,0,2,yes,yes,132975,no
600,Germany,Male,18 - 29,3,150795,1,no,yes,85208,no
700,Spain,Female,60 - 69,4,129855,2,yes,no,170214,yes
300,Spain,Female,18 - 29,6,146098,3,yes,no,100615,yes
700,France,Female,18 - 29,7,0,2,yes,no,186105,no
600,France,Female,40 - 49,2,0,1,yes,yes,55119,no
700,Germany,Male,18 - 29,4,65643,1,yes,no,28760,no
500,Spain,Female,30 - 39,6,0,2,yes,no,171021,no
500,France,Male,30 - 39,9,104584,1,yes,no,176678,no
600,France,Male,40 - 49,7,0,1,no,yes,28667,no
700,Germany,Male,30 - 39,6,99785,2,no,no,197238,no
300,Germany,Male,40 - 49,2,127655,1,yes,no,139994,yes
500,France,Male,18 - 29,5,0,1,yes,no,151169,no
400,France,Male,30 - 39,2,101257,1,yes,yes,118113,no
600,France,Female,40 - 49,7,0,2,yes,yes,34453,no
700,France,Male,70 - 79,10,121313,1,no,yes,64872,no
500,Spain,Male,30 - 39,5,0,2,yes,no,10956,no
700,Germany,Male,30 - 39,4,81523,1,yes,yes,36885,no
600,France,Female,40 - 49,6,128252,1,yes,yes,168053,no
800,France,Female,30 - 39,7,0,2,no,no,155227,no
700,France,Male,50 - 59,7,0,3,yes,no,38409,yes
400,France,Female,30 - 39,5,0,2,no,yes,75279,no
600,Spain,Male,40 - 49,6,0,2,yes,no,158302,yes
600,France,Female,18 - 29,4,0,2,yes,yes,11525,no
500,Spain,Male,30 - 39,6,0,1,yes,no,94993,yes
700,Spain,Female,50 - 59,8,0,1,yes,no,173912,yes
500,France,Male,30 - 39,5,0,1,no,yes,41139,no
500,Germany,Male,18 - 29,3,145541,2,yes,yes,58019,no
700,France,Female,18 - 29,5,0,1,no,no,164128,yes
600,Germany,Male,40 - 49,5,124601,2,yes,yes,46998,yes
700,Germany,Female,30 - 39,7,115182,2,yes,yes,177279,no
700,France,Male,30 - 39,2,163789,2,yes,no,75832,no
500,France,Male,40 - 49,1,65733,1,yes,no,61094,no
600,Spain,Male,40 - 49,1,0,2,no,yes,30117,no
500,Spain,Female,40 - 49,8,128486,1,yes,no,179227,no
700,Spain,Female,50 - 59,6,109663,1,yes,yes,52110,no
500,Germany,Female,40 - 49,6,88324,2,yes,no,75248,no
500,France,Female,18 - 29,7,146445,2,yes,no,184317,no
600,France,Female,30 - 39,3,0,2,yes,no,158553,no
500,Spain,Female,30 - 39,6,0,2,yes,yes,95686,no
700,Germany,Male,30 - 39,2,109949,2,no,yes,71682,no
700,Spain,Male,30 - 39,4,78653,1,yes,no,1790,no
500,Germany,Male,40 - 49,9,107850,1,yes,no,139431,yes
600,Germany,Female,30 - 39,4,83765,2,yes,no,118358,no
700,France,Female,60 - 69,7,143773,1,yes,yes,130827,no
500,Germany,Male,60 - 69,6,116227,1,yes,yes,119404,no
600,Germany,Male,30 - 39,0,103471,1,yes,yes,162703,no
700,France,Male,40 - 49,5,0,2,yes,no,172665,no
700,France,Male,18 - 29,3,137492,2,no,yes,170142,no
500,France,Male,18 - 29,7,0,2,yes,no,73977,no
500,France,Male,30 - 39,9,129829,1,yes,yes,60906,no
500,France,Female,18 - 29,1,146329,2,yes,yes,194867,no
600,Germany,Male,30 - 39,4,114027,1,yes,yes,193716,no
600,Germany,Male,18 - 29,6,146580,1,no,yes,14633,no
500,Germany,Female,30 - 39,0,132122,2,no,no,31730,no
600,France,Female,40 - 49,10,81553,1,yes,no,20063,yes
600,France,Female,60 - 69,7,0,2,yes,yes,99792,no
500,France,Male,18 - 29,6,0,2,yes,no,37654,no
600,Spain,Female,18 - 29,3,0,2,yes,yes,192449,no
800,France,Female,18 - 29,4,0,2,yes,yes,181208,no
500,Germany,Male,30 - 39,5,175214,1,yes,yes,155165,no
500,Germany,Female,40 - 49,10,125534,1,yes,no,121504,yes
600,France,Male,60 - 69,4,97705,1,yes,yes,61569,no
400,Germany,Female,50 - 59,4,126817,2,yes,no,123269,no
600,France,Female,40 - 49,1,46870,4,yes,no,31272,yes
600,Spain,Male,40 - 49,3,0,2,yes,yes,62825,no
700,France,Male,40 - 49,9,120094,1,yes,no,184056,no
600,France,Female,30 - 39,3,0,2,yes,yes,48924,no
600,France,Female,30 - 39,3,0,2,yes,no,191111,no
500,Germany,Female,30 - 39,1,104356,2,no,yes,54184,no
700,Germany,Male,18 - 29,5,147004,1,yes,no,64381,yes
700,Germany,Male,30 - 39,6,73023,2,yes,no,78770,no
600,Spain,Female,40 - 49,1,173432,1,no,yes,116766,no
600,France,Female,40 - 49,7,165679,1,no,no,32916,no
800,Spain,Male,30 - 39,9,104678,1,no,yes,50972,no
500,France,Female,50 - 59,8,116973,3,yes,no,122066,yes
500,France,Female,30 - 39,3,0,1,yes,no,65996,no
800,Germany,Male,30 - 39,2,126732,1,yes,yes,79577,no
600,France,Female,40 - 49,6,148481,1,yes,no,130529,no
500,France,Female,30 - 39,4,137654,2,yes,yes,172629,no
700,Germany,Male,30 - 39,7,115315,1,yes,no,15216,no
700,France,Male,40 - 49,2,99095,1,yes,yes,17512,no
500,Germany,Female,30 - 39,7,165610,2,no,no,131852,no
400,France,Male,30 - 39,5,0,2,yes,no,181945,yes
500,Spain,Male,30 - 39,6,161628,1,yes,no,91482,no
700,France,Male,30 - 39,9,146605,1,yes,yes,77119,no
600,Germany,Male,30 - 39,5,113488,1,yes,no,95611,yes
700,France,Male,40 - 49,7,77002,2,yes,yes,80428,no
600,Spain,Male,60 - 69,7,0,2,no,yes,163714,no
500,France,Female,30 - 39,6,0,2,no,yes,27375,no
700,Spain,Male,18 - 29,4,0,2,yes,yes,73873,no
700,Spain,Male,40 - 49,8,182364,1,no,no,139266,yes
600,France,Male,30 - 39,8,0,2,yes,yes,131772,no
600,France,Male,40 - 49,7,149364,1,no,yes,173454,no
500,France,Male,50 - 59,7,127450,1,no,yes,67552,no
500,Spain,Female,60 - 69,5,162278,1,yes,yes,34765,no
500,Spain,Male,30 - 39,5,152212,2,no,no,120219,no
600,Spain,Female,30 - 39,9,161993,1,no,no,90212,no
500,Spain,Male,30 - 39,7,131468,1,yes,no,164975,no
600,Germany,Male,40 - 49,10,102980,1,yes,no,1285,yes
600,Germany,Male,30 - 39,9,143321,1,yes,no,83679,no
700,Spain,Female,30 - 39,2,130404,1,no,no,34548,no
700,France,Female,40 - 49,7,0,2,yes,yes,74275,no
600,France,Male,30 - 39,2,87505,2,no,yes,7278,no
800,France,Male,30 - 39,0,133634,1,yes,yes,162053,no
500,Spain,Female,30 - 39,3,151233,1,no,no,199336,no
600,Spain,Male,50 - 59,2,70263,1,no,yes,62347,no
400,France,Male,30 - 39,5,0,2,yes,yes,91711,no
600,France,Male,30 - 39,10,57657,1,no,no,79240,no
600,Germany,Male,40 - 49,8,153572,2,yes,yes,76679,no
500,France,Male,30 - 39,1,134752,1,yes,no,162511,no
600,Spain,Male,30 - 39,3,83132,1,yes,yes,21360,no
400,France,Female,30 - 39,2,0,2,yes,no,54487,no
500,Germany,Female,30 - 39,9,134096,2,yes,no,53931,yes
700,France,Female,30 - 39,0,118100,2,yes,no,103165,no
800,Germany,Male,50 - 59,10,76915,1,no,no,146359,yes
800,Spain,Female,40 - 49,3,81576,1,yes,yes,28370,yes
600,Spain,Male,40 - 49,2,0,2,no,no,10023,no
700,France,Male,30 - 39,10,118327,2,yes,yes,192928,no
500,Spain,Male,30 - 39,8,124857,2,no,no,50485,no
700,Germany,Female,18 - 29,2,90971,1,yes,yes,131662,no
800,France,Female,30 - 39,7,153147,1,yes,yes,152235,no
500,France,Male,30 - 39,8,65942,1,yes,yes,68093,yes
800,France,Male,30 - 39,3,0,2,yes,yes,80061,no
600,France,Male,50 - 59,2,0,1,yes,no,149583,yes
600,Spain,Female,18 - 29,5,100912,1,no,no,7631,no
800,France,Female,30 - 39,4,0,2,yes,yes,33082,no
700,France,Male,30 - 39,3,0,1,yes,no,121883,yes
500,France,Female,40 - 49,5,0,3,yes,yes,100722,yes
700,Germany,Male,40 - 49,2,124439,2,no,yes,47093,no
600,France,Female,40 - 49,7,0,2,yes,yes,177624,no
700,France,Male,40 - 49,6,0,2,no,no,106149,no
700,France,Female,40 - 49,2,58781,1,yes,no,16874,no
600,Spain,Male,50 - 59,7,159453,2,no,no,54560,yes
600,Germany,Male,18 - 29,2,142721,1,yes,yes,153605,no
600,France,Female,40 - 49,8,167795,1,no,yes,44390,no
700,France,Female,30 - 39,3,128345,2,yes,no,63218,no
700,Spain,Male,18 - 29,3,165260,1,yes,yes,41626,no
500,Germany,Female,60 - 69,3,118233,1,no,yes,24765,yes
700,France,Female,40 - 49,6,0,1,yes,no,28280,yes
600,Spain,Female,40 - 49,8,0,2,yes,no,89043,no
800,Germany,Male,30 - 39,7,143452,2,yes,yes,17294,no
700,France,Male,30 - 39,3,145018,2,yes,yes,126702,no
500,Germany,Female,30 - 39,8,82407,1,yes,no,13123,no
400,Germany,Male,18 - 29,1,79460,2,yes,yes,167973,no
500,Spain,Female,40 - 49,9,0,1,yes,no,125870,yes
600,Spain,Male,30 - 39,5,126473,1,yes,no,91972,no
700,Germany,Female,30 - 39,10,133537,2,yes,no,155593,no
600,France,Male,50 - 59,5,164978,1,yes,yes,67788,no
600,Spain,Male,40 - 49,7,128029,1,yes,yes,62615,no
700,Spain,Male,40 - 49,2,97403,1,yes,yes,107415,yes
700,France,Female,40 - 49,7,176845,3,yes,no,166526,yes
600,Spain,Male,70 - 79,4,0,1,yes,yes,120107,no
600,Spain,Male,40 - 49,3,81589,1,yes,no,188227,no
400,Germany,Female,40 - 49,6,119507,2,yes,no,91560,yes
500,Spain,Female,18 - 29,6,0,2,no,no,166495,no
600,France,Male,30 - 39,5,94443,1,yes,yes,165614,no
500,France,Male,30 - 39,2,0,2,yes,yes,86372,no
600,France,Male,30 - 39,7,92199,1,yes,yes,2755,no
500,Spain,Male,40 - 49,3,0,1,yes,no,83594,no
700,France,Female,40 - 49,3,135756,1,yes,yes,103706,no
600,France,Female,50 - 59,9,120633,1,no,no,5924,yes
500,Germany,Male,40 - 49,5,134542,1,yes,yes,58203,yes
600,Spain,Male,18 - 29,7,0,2,yes,no,49361,no
600,Spain,Male,50 - 59,7,0,1,no,yes,73585,yes
700,Spain,Male,30 - 39,6,0,1,yes,yes,95135,no
700,France,Male,40 - 49,4,154344,2,yes,yes,38794,no
500,France,Male,40 - 49,3,0,2,no,yes,198926,no
600,France,Male,40 - 49,9,189026,2,yes,yes,56099,no
400,France,Male,30 - 39,0,120764,1,yes,yes,117023,no
600,Germany,Female,18 - 29,3,97975,2,no,yes,62083,no
500,France,Male,30 - 39,4,0,2,yes,yes,141822,no
500,Germany,Male,40 - 49,10,113270,2,yes,yes,185387,no
700,Spain,Male,30 - 39,4,0,2,no,yes,57461,no
